F_delta(Hatree/Bohr) from deepks model: 
        type        atom           dF_x           dF_y           dF_z
          Al           0    0.000395194   -0.000237442     0.00055307
          Al           1    1.41681e-05    4.44333e-05   -0.000115908
           N           0   -8.95576e-05   -7.14879e-05    0.000467794
           N           1   -0.000319805    0.000264497   -0.000904957
F_delta(eV/Angstrom) from deepks model: 
        type        atom           dF_x           dF_y           dF_z
          Al           0      0.0203217     -0.0122098        0.02844
          Al           1    0.000728554     0.00228485    -0.00596022
           N           0    -0.00460524    -0.00367606       0.024055
           N           1      -0.016445       0.013601     -0.0465348
